AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2008,54,3,6,1,3,1199873.6,2
2008,54,3,7,1,3,223630.0,1
2008,54,3,9,1,3,200497.0,1
2008,54,3,10,1,3,99724.0,1
2008,54,3,11,1,3,200608.0,2
2008,55,3,6,1,3,1008582.0,1
2008,56,3,6,1,3,1653518.0,2
2008,56,3,9,1,3,167402.0,1
2008,56,3,10,1,3,74900.0,1
2008,57,3,6,1,3,1900000.0,1
2008,59,3,3,1,3,460000.0,1
2008,59,3,4,1,3,84000.0,1
2008,59,3,6,1,3,1988830.0,5
2008,59,3,7,1,3,1522300.0,5
2008,59,3,8,1,3,400000.0,1
2008,59,3,9,1,3,785669.75,2
2008,59,3,10,1,3,100000.0,1
2008,59,3,11,1,3,1150000.0,1
2008,61,3,9,1,4,3198971.51,2
2008,63,3,6,1,3,689615.0,1
2008,63,3,9,1,3,442980.0,2
2008,66,3,3,1,3,230050.0,1
2008,66,3,4,1,3,599200.0,1
2008,66,3,6,1,3,1547236.0,2
2008,66,3,7,1,3,638253.0,4
2008,66,3,8,1,3,1020541.0,1
2008,66,3,9,1,3,107000.0,1
2008,66,3,10,1,3,196880.0,1
2008,66,3,11,1,3,500000.0,1
2008,67,3,4,1,3,3496857.0,3
2008,67,3,5,1,3,499615.0,2
2008,67,3,6,1,3,8773602.0,3
2008,67,3,7,1,3,4527731.0,5
2008,67,3,7,1,4,1302591.0,3
2008,67,3,8,1,3,3951510.0,1
2008,67,3,9,1,3,1000450.0,1
2008,67,3,11,1,3,2867600.0,1
2008,67,3,12,1,3,1300005.0,1
2008,67,3,13,1,4,717388.0,1
2008,69,3,4,1,3,329220.0,2
2008,69,3,4,1,4,200000.0,1
2008,69,3,6,1,3,4557000.0,5
2008,69,3,6,1,4,4400000.0,2
2008,69,3,7,1,3,572000.0,2
2008,69,3,7,1,4,598530.0,2
2008,69,3,9,1,3,650029.0,1
2008,69,3,9,1,4,298316.0,1
2008,69,3,10,1,3,40376.0,1
2008,69,3,11,1,3,494495.0,2
2008,69,3,13,1,4,500852.0,1
2008,71,3,6,1,3,760001.0,1
2008,71,3,6,1,4,4000000.0,2
2008,71,3,7,1,3,1055020.0,1
2008,71,3,7,1,4,500000.0,1
2008,71,3,9,1,3,938772.0,2
2008,71,3,9,1,4,1999999.0,2
2008,71,3,12,1,3,1000850.0,2
2008,73,3,6,1,3,4988364.0,2
2008,74,3,3,1,3,280702.0,4
2008,74,3,4,1,3,2974116.0,2
2008,74,3,4,1,4,553876.0,2
2008,74,3,6,1,3,4401391.0,5
2008,74,3,6,1,4,2463458.0,2
2008,74,3,7,1,3,1570821.0,3
2008,74,3,7,1,4,1991191.0,2
2008,74,3,8,1,3,150010.0,1
2008,74,3,9,1,3,1125024.0,4
2008,74,3,10,1,3,312173.0,3
2008,74,3,11,1,3,1097028.0,3
2008,74,3,11,1,4,700000.0,1
2008,74,3,13,1,4,1100000.0,1
2008,78,3,6,1,3,619448.0,1
2008,78,3,7,1,3,517428.0,2
2008,78,3,10,1,3,212788.0,1
2008,78,3,11,1,3,330630.0,1
2008,78,3,13,1,3,399998.0,1
2008,79,3,6,1,4,419375.0,2
2008,79,3,7,1,4,750041.0,2
